"string","D","length"
"0010100",3.00775268785523e-06,7
"0110110",2.96360300692158e-06,7
"0001100",2.95499785552271e-06,7
"0011000",2.95499785552271e-06,7
"0011010",2.75487328115823e-06,7
"0101100",2.75487328115823e-06,7
"0100110",2.70950398616664e-06,7
"0110010",2.70950398616664e-06,7
"0111110",2.6545865571522e-06,7
"00000000",2.64667037460775e-06,8
"0000111",2.57653995654524e-06,7
"0001111",2.57653995654524e-06,7
"0010110",2.55495574541414e-06,7
"0110100",2.55495574541414e-06,7
"0001101",2.46149085695906e-06,7
"0100111",2.46149085695906e-06,7
"0010011",2.44342630237465e-06,7
"0011011",2.44342630237465e-06,7
"0011101",2.43213312855134e-06,7
"0100011",2.43213312855134e-06,7
"0011001",2.37956793663582e-06,7
"0110011",2.37956793663582e-06,7
"0110001",2.31925010528776e-06,7
"0111001",2.31925010528776e-06,7
"0011110",2.20205928686373e-06,7
"0111100",2.20205928686373e-06,7
"0001110",2.16801970192257e-06,7
"0111000",2.16801970192257e-06,7
"0011100",1.98610930669169e-06,7
"0001011",1.92173073467138e-06,7
"0010111",1.92173073467138e-06,7
"00000001",1.23657730625733e-06,8
"01111111",1.23657730625733e-06,8
"01010101",1.06835059799615e-06,8
"00001000",1.01223791240852e-06,8
"00010000",1.01223791240852e-06,8
"00000010",1.00628076756627e-06,8
"01000000",1.00628076756627e-06,8
"00101010",7.25181474963551e-07,8
"01010100",7.25181474963551e-07,8
"01001010",7.09829300288328e-07,8
"01010010",7.09829300288328e-07,8
"00000100",7.07624947918257e-07,8
"00100000",7.07624947918257e-07,8
"000000000",5.98738291974374e-07,9
"01010110",5.81752426000416e-07,8
"01101010",5.81752426000416e-07,8
"00000011",5.70801996783978e-07,8
"00111111",5.70801996783978e-07,8
"01011010",5.5468604097974e-07,8
"01000010",5.33578540621648e-07,8
"00100100",5.29594352044329e-07,8
"00001010",5.18325535705773e-07,8
"01010000",5.18325535705773e-07,8
"00010001",5.11688121110808e-07,8
"01110111",5.11688121110808e-07,8
"00000110",5.07578665469049e-07,8
"01100000",5.07578665469049e-07,8
"01001001",4.7735102689161e-07,8
"01101101",4.7735102689161e-07,8
"00000101",4.67230491977085e-07,8
"01011111",4.67230491977085e-07,8
"00100010",4.64599883623851e-07,8
"01000100",4.64599883623851e-07,8
"00010101",4.52709951424114e-07,8
"01010111",4.52709951424114e-07,8
"00010010",4.51140633477939e-07,8
"01001000",4.51140633477939e-07,8
"00001100",4.37613530338789e-07,8
"00110000",4.37613530338789e-07,8
"00100001",4.22812878711169e-07,8
"01111011",4.22812878711169e-07,8
"00001001",4.11606695904833e-07,8
"01101111",4.11606695904833e-07,8
"00100101",4.07942634269971e-07,8
"01011011",4.07942634269971e-07,8
"01000101",4.01578371468298e-07,8
"01011101",4.01578371468298e-07,8
"01000001",3.92788799113444e-07,8
"01111101",3.92788799113444e-07,8
"00011000",3.86640274033862e-07,8
"00010100",3.84006186039949e-07,8
"00101000",3.84006186039949e-07,8
"01111110",3.73396761610041e-07,8
"01001101",3.69447369439511e-07,8
"01010001",3.68657491005405e-07,8
"01110101",3.68657491005405e-07,8
"00001101",3.64993429370543e-07,8
"01001111",3.64993429370543e-07,8
"00110110",3.25123706471924e-07,8
"01101100",3.25123706471924e-07,8
"01101110",3.21969412196519e-07,8
"01110110",3.21969412196519e-07,8
"00101101",3.19745921802714e-07,8
"01001011",3.19745921802714e-07,8
"000000001",3.11302573695409e-07,9
"011111111",3.11302573695409e-07,9
"00001110",3.10382208735845e-07,8
"01110000",3.10382208735845e-07,8
"00011010",3.00249495078944e-07,8
"01011000",3.00249495078944e-07,8
"00110101",2.90605670937425e-07,8
"01010011",2.90605670937425e-07,8
"00100110",2.86357029668511e-07,8
"01100100",2.86357029668511e-07,8
"00000111",2.83681185986452e-07,8
"00011111",2.83681185986452e-07,8
"000010000",2.83479366827077e-07,9
"01000110",2.81031439609484e-07,8
"01100010",2.81031439609484e-07,8
"00110010",2.74820280997681e-07,8
"01001100",2.74820280997681e-07,8
"01011110",2.71351079240837e-07,8
"01111010",2.71351079240837e-07,8
"01001110",2.69305050521655e-07,8
"01110010",2.69305050521655e-07,8
"01100110",2.55791865945221e-07,8
"00001111",2.55704874928249e-07,8
"00101001",2.54530496199126e-07,8
"01101011",2.54530496199126e-07,8
"00001011",2.39715926008791e-07,8
"00101111",2.39715926008791e-07,8
"00111010",2.37922171238827e-07,8
"01011100",2.37922171238827e-07,8
"01011001",2.3421461409548e-07,8
"01100101",2.3421461409548e-07,8
"00101100",2.33944941942866e-07,8
"00110100",2.33944941942866e-07,8
"00011001",2.33857950925894e-07,8
"01100111",2.33857950925894e-07,8
"010101010",2.33563921288529e-07,9
"00111101",2.33395158715603e-07,8
"01000011",2.33395158715603e-07,8
"00101011",2.27471070459808e-07,8
"00110001",2.26964782741031e-07,8
"01110011",2.26964782741031e-07,8
"00011110",2.22284666027936e-07,8
"01111000",2.22284666027936e-07,8
"01101001",2.20765802871605e-07,8
"00011011",2.20638795986825e-07,8
"00100111",2.20638795986825e-07,8
"00100011",2.19126892111852e-07,8
"00111011",2.19126892111852e-07,8
"00101110",2.18091699009885e-07,8
"01110100",2.18091699009885e-07,8
"01100001",2.13488134391725e-07,8
"01111001",2.13488134391725e-07,8
"00111110",2.12780027513573e-07,8
"01111100",2.12780027513573e-07,8
"00011101",2.1195013321166e-07,8
"01000111",2.1195013321166e-07,8
"00010110",2.09919762875533e-07,8
"01101000",2.09919762875533e-07,8
"00011100",2.01679973747942e-07,8
"00111000",2.01679973747942e-07,8
"00010011",2.01476414768228e-07,8
"00110111",2.01476414768228e-07,8
"01110001",1.91411554104565e-07,8
"000000010",1.73641029157519e-07,9
"010000000",1.73641029157519e-07,9
"00111100",1.72430114201269e-07,8
"00111001",1.64701832253474e-07,8
"01100011",1.64701832253474e-07,8
"00110011",1.55536458705302e-07,8
"000000100",1.55132820386551e-07,9
"001000000",1.55132820386551e-07,9
"00010111",1.48838150398456e-07,8
"0000000000",1.38440984049959e-07,10
"000001000",1.36396695151117e-07,9
"000100000",1.36396695151117e-07,9
"000010001",1.35288429594893e-07,9
"011101111",1.35288429594893e-07,9
"000101010",1.26538873107847e-07,9
"010101000",1.26538873107847e-07,9
"001010101",1.24360618042867e-07,9
"010101011",1.24360618042867e-07,9
"001001001",1.0006576682292e-07,9
"011011011",1.0006576682292e-07,9
"010110110",9.81989395987005e-08,9
"011011010",9.81989395987005e-08,9
"000000101",9.7600441401933e-08,9
"010111111",9.7600441401933e-08,9
"010101001",9.75656449951442e-08,9
"011010101",9.75656449951442e-08,9
"000000110",9.42930429366566e-08,9
"011000000",9.42930429366566e-08,9
"010010010",9.35257821669634e-08,9
"010010101",8.83828732435772e-08,9
"010101101",8.83828732435772e-08,9
"000000011",8.53242690868408e-08,9
"001111111",8.53242690868408e-08,9
"000100100",8.15662571536494e-08,9
"001001000",8.15662571536494e-08,9
"001010100",8.12356912891557e-08,9
"000011000",7.65607940370791e-08,9
"000110000",7.65607940370791e-08,9
"001000100",7.62876422437869e-08,9
"000001010",7.49827769892065e-08,9
"010100000",7.49827769892065e-08,9
"000100001",7.16753785239301e-08,9
"011110111",7.16753785239301e-08,9
"001000001",6.80321947331417e-08,9
"011111011",6.80321947331417e-08,9
"001101010",6.71100899532383e-08,9
"010101100",6.71100899532383e-08,9
"000001100",6.69535061226886e-08,9
"001100000",6.69535061226886e-08,9
"000100010",6.65829243903878e-08,9
"010001000",6.65829243903878e-08,9
"000010100",6.61810258919771e-08,9
"001010000",6.61810258919771e-08,9
"001001010",6.59966049359964e-08,9
"010100100",6.59966049359964e-08,9
"001000010",6.54311633256782e-08,9
"010000100",6.54311633256782e-08,9
"010100101",6.44029295050689e-08,9
"010110101",6.44029295050689e-08,9
"011111110",6.43768321999773e-08,9
"000010010",6.35591166404402e-08,9
"010010000",6.35591166404402e-08,9
"000101000",6.28910256300951e-08,9
"0000000001",6.24456316231983e-08,10
"0111111111",6.24456316231983e-08,10
"0101010101",6.22020567756766e-08,10
"010000001",6.04691957175939e-08,9
"011111101",6.04691957175939e-08,9
"000000111",5.92913373477927e-08,9
"000111111",5.92913373477927e-08,9
"010101110",5.87189364561168e-08,9
"011101010",5.87189364561168e-08,9
"001011010",5.48582751228983e-08,9
"010110100",5.48582751228983e-08,9
"010000101",5.43519874041211e-08,9
"010111101",5.43519874041211e-08,9
"000010101",5.42736954888463e-08,9
"010101111",5.42736954888463e-08,9
"011101110",5.41745257294982e-08,9
"0000001010",5.40005436955541e-08,10
"0101000000",5.40005436955541e-08,10
"001101101",5.3273298793668e-08,9
"010010011",5.3273298793668e-08,9
"010001010",5.27339544884415e-08,9
"010100010",5.27339544884415e-08,9
"001000101",5.18605646780423e-08,9
"010111011",5.18605646780423e-08,9
"000011010",5.11628967219267e-08,9
"010110000",5.11628967219267e-08,9
"000100101",5.02547105047388e-08,9
"010110111",5.02547105047388e-08,9
"000001001",5.02355724810049e-08,9
"011011111",5.02355724810049e-08,9
"000101011",5.00093958368776e-08,9
"001010111",5.00093958368776e-08,9
"000001110",4.82521772940427e-08,9
"011100000",4.82521772940427e-08,9
"001010010",4.77772063413755e-08,9
"010010100",4.77772063413755e-08,9
"001010110",4.76693374803302e-08,9
"011010100",4.76693374803302e-08,9
"0010101010",4.71299931751036e-08,10
"0101010100",4.71299931751036e-08,10
"010111010",4.7044741978471e-08,9
"010010110",4.67715901851789e-08,9
"011010010",4.67715901851789e-08,9
"00000000000",4.53814737339659e-08,11
"010010001",4.52997021780122e-08,9
"011101101",4.52997021780122e-08,9
"010011010",4.37095063877636e-08,9
"010110010",4.37095063877636e-08,9
"000001101",4.33076078893528e-08,9
"010011111",4.33076078893528e-08,9
"0000100010",4.26569150824021e-08,10
"0100010000",4.26569150824021e-08,10
"0000000010",4.25038108925313e-08,10
"0100000000",4.25038108925313e-08,10
"001001101",4.19836046110386e-08,9
"010011011",4.19836046110386e-08,9
"010001001",4.19348896415343e-08,9
"011011101",4.19348896415343e-08,9
"010100001",4.17730863499663e-08,9
"011110101",4.17730863499663e-08,9
"000011011",4.16321609024716e-08,9
"001001111",4.16321609024716e-08,9
"0000011010",4.15660477295729e-08,10
"0101100000",4.15660477295729e-08,10
"001000110",4.08944770785489e-08,9
"011000100",4.08944770785489e-08,9
"010000010",4.02594426546531e-08,9
"0000010000",3.99219175088016e-08,10
"0000100000",3.99219175088016e-08,10
"0100010001",3.95426366748036e-08,10
"0111011101",3.95426366748036e-08,10
"011001001",3.90920232068885e-08,9
"011011001",3.90920232068885e-08,9
"000101001",3.7821954359097e-08,9
"011010111",3.7821954359097e-08,9
"0000001000",3.66684534740479e-08,10
"0001000000",3.66684534740479e-08,10
"010001101",3.66197385045436e-08,9
"010011101",3.66197385045436e-08,9
"000001111",3.63639849146458e-08,9
"000011111",3.63639849146458e-08,9
"010100110",3.5657617856833e-08,9
"011001010",3.5657617856833e-08,9
"001110101",3.51739478024685e-08,9
"010100011",3.51739478024685e-08,9
"000011100",3.47964067888099e-08,9
"001110000",3.47964067888099e-08,9
"000011101",3.47041963108196e-08,9
"010001111",3.47041963108196e-08,9
"000110101",3.39560735648602e-08,9
"010100111",3.39560735648602e-08,9
"010000110",3.38673427275487e-08,9
"011000010",3.38673427275487e-08,9
"001100010",3.36811819512286e-08,9
"010001100",3.36811819512286e-08,9
"001001011",3.33488762663954e-08,9
"001011011",3.33488762663954e-08,9
"001100001",3.27051427408025e-08,9
"011110011",3.27051427408025e-08,9
"000100110",3.2675565795032e-08,9
"011001000",3.2675565795032e-08,9
"010111110",3.26686065136742e-08,9
"011111010",3.26686065136742e-08,9
"000110110",3.26129322628121e-08,9
"011011000",3.26129322628121e-08,9
"001011101",3.22823663983184e-08,9
"010001011",3.22823663983184e-08,9
"011010110",3.21692780762548e-08,9
"011011110",3.19935562219713e-08,9
"011110110",3.19935562219713e-08,9
"010011001",3.18091352659906e-08,9
"011001101",3.18091352659906e-08,9
"010011110",3.17917370625962e-08,9
"011110010",3.17917370625962e-08,9
"001001100",3.10644921607101e-08,9
"001100100",3.10644921607101e-08,9
"000110010",3.08226571335278e-08,9
"010011000",3.08226571335278e-08,9
"000111000",2.97996427739368e-08,9
"010001110",2.9780504750203e-08,9
"011100010",2.9780504750203e-08,9
"001001110",2.97735454688452e-08,9
"011100100",2.97735454688452e-08,9
"000001011",2.96482784044055e-08,9
"001011111",2.96482784044055e-08,9
"001100110",2.96169616382956e-08,9
"011001100",2.96169616382956e-08,9
"000011001",2.95995634349012e-08,9
"011001111",2.95995634349012e-08,9
"001111110",2.95369299026813e-08,9
"011111100",2.95369299026813e-08,9
"001010001",2.94499388857093e-08,9
"011101011",2.94499388857093e-08,9
"000010011",2.92933550551596e-08,9
"001101111",2.92933550551596e-08,9
"000110001",2.92916152348202e-08,9
"011100111",2.92916152348202e-08,9
"000010110",2.91837463737749e-08,9
"011010000",2.91837463737749e-08,9
"001000011",2.9018463441528e-08,9
"001111011",2.9018463441528e-08,9
"001100101",2.89366918855743e-08,9
"010110011",2.89366918855743e-08,9
"0000101010",2.88357823058868e-08,10
"0101010000",2.88357823058868e-08,10
"000110100",2.8800985899098e-08,9
"001011000",2.8800985899098e-08,9
"000011110",2.86009065600623e-08,9
"011110000",2.86009065600623e-08,9
"000111011",2.7718817647966e-08,9
"001000111",2.7718817647966e-08,9
"001101100",2.76701026784617e-08,9
"001111010",2.72177493902071e-08,9
"010111100",2.72177493902071e-08,9
"000100011",2.69585161596305e-08,9
"001110111",2.69585161596305e-08,9
"000111101",2.68958826274106e-08,9
"010000111",2.68958826274106e-08,9
"000101101",2.63026038916614e-08,9
"010010111",2.63026038916614e-08,9
"000010111",2.62556287424965e-08,9
"000101111",2.62556287424965e-08,9
"001010011",2.59755176678466e-08,9
"001101011",2.59755176678466e-08,9
"001110010",2.55388227626471e-08,9
"010011100",2.55388227626471e-08,9
"001101110",2.5029055403191e-08,9
"011101100",2.5029055403191e-08,9
"001111101",2.48046185794032e-08,9
"010000011",2.48046185794032e-08,9
"001110110",2.46967497183579e-08,9
"011011100",2.46967497183579e-08,9
"01010101010",2.45593039115421e-08,11
